label,kind,threads,host_GB,time_limit_s,gpu,args
g0self_l0p25,g0_self,4,8,3600,0,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
g0ext_l0p25_sep0ss1,g0_ext,4,8,3600,0,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
g0ext_l0p25_sep1ss4,g0_ext,4,8,3600,0,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
g0ext_l0p25_sep1000ss1,g0_ext,4,8,3600,0,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1000//1"
g0uu_l0p25,g0_multiregion,4,8,3600,0,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
g0self_l0p5,g0_self,4,8,3600,0,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
g0ext_l0p5_sep0ss1,g0_ext,4,8,3600,0,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
g0ext_l0p5_sep1ss4,g0_ext,4,8,3600,0,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
g0ext_l0p5_sep1000ss1,g0_ext,4,8,3600,0,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1000//1"
g0uu_l0p5,g0_multiregion,4,8,3600,0,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
g0self_l0p75,g0_self,4,8,3600,0,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
g0ext_l0p75_sep0ss1,g0_ext,4,8,3600,0,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
g0ext_l0p75_sep1ss4,g0_ext,4,8,3600,0,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
g0ext_l0p75_sep1000ss1,g0_ext,4,8,3600,0,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1000//1"
g0uu_l0p75,g0_multiregion,4,8,3600,0,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
g0self_l1,g0_self,4,8,4070,0,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
g0ext_l1_sep0ss1,g0_ext,4,8,3687,0,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 0//1"
g0ext_l1_sep1ss4,g0_ext,4,8,4070,0,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
g0ext_l1_sep1000ss1,g0_ext,4,8,4070,0,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1000//1"
g0uu_l1,g0_multiregion,4,8,4070,0,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
